,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
6257,5295169643.0,restaurant,,,,,,,,,,,,Hao,POINT (112.6769987 -7.2930255),112.6769987,-7.2930255,0.21295078258372716,0.0803144767826426
6258,5295169644.0,restaurant,,,,,,,,,,,,T4,POINT (112.6769354 -7.2930228),112.6769354,-7.2930228,0.20825761816499427,0.07343734329146215
6259,5295169645.0,cafe,,,,,,,,,,,,Sugabites,POINT (112.6763329 -7.29408),112.6763329,-7.29408,0.16790989254369668,0.1341814057038657
6260,5295169646.0,cafe,,,Mo-Su 06:00-23:45,,,,,,,,,TGC,POINT (112.6762902 -7.2939676),112.6762902,-7.2939676,0.17200460382241628,0.12166254772041203
6261,5295169647.0,restaurant,,,,,,,,,,,,Sahara,POINT (112.6759912 -7.2936924),112.6759912,-7.2936924,0.17278146794464985,0.0969659337586013
6262,5295169648.0,restaurant,,,Mo-Su 11:00-23:00,,,,,,,,,Frangipani,POINT (112.6760823 -7.2935208),112.6760823,-7.2935208,0.19414588586367554,0.0757628365873398
6263,5295169649.0,restaurant,,,"Mo-Fr 12:00-21:00; Sa, Su 11:00-22:00",,,,,,,,,Oba,POINT (112.6772958 -7.2926313),112.6772958,-7.2926313,0.2079310945899639,0.1142248918913397
6270,5300016139.0,food_court,,,,,,,,,,,,Pujasera,POINT (113.6708618 -8.1831292),113.6708618,-8.1831292,0.15363114230547972,0.5657493267597943
6275,5300385308.0,restaurant,,,Tu-Su 10:00-19:00,,,,,,,,,Pirates café,POINT (112.6331688 -7.2853115),112.6331688,-7.2853115,0.19090632843236238,1.2443105091986448
6285,5302009006.0,cafe,,Malang,24/7,,,,,,Jalan Mayor Jenderal M.T. Haryono,,,AMC FIA UB,POINT (112.6134167 -7.9488333),112.6134167,-7.9488333,0.30273262249044963,1.8894322399400745
6293,5309192028.0,restaurant,,,,,,,,,,,,Warkop Sedati,POINT (112.7777096 -7.3837078),112.7777096,-7.3837078,1.8270433344933654,2.04046713972701
6294,5309200651.0,restaurant,,,,,,,,,,,,Gao Ji Shao Kao,POINT (112.6765925 -7.2923348),112.6765925,-7.2923348,0.1266357197235019,0.06778896693348131
6303,5330279481.0,restaurant,,,,,,,,,,,,Boulevard,POINT (112.683141 -7.2823993),112.683141,-7.2823993,0.23522009858201556,0.3508682184925158
6304,5330300566.0,cafe,,Malang,,,D414,Jalan Soekarno - Hatta,,,,,,Circle Cafe & Resto,POINT (112.6228244 -7.9415165),112.6228244,-7.9415165,0.13909996421215778,0.5759484584288488
6358,5348408546.0,fast_food,,,,,,,,,,,,Sourrp me,POINT (112.6548545 -7.2914312),112.6548545,-7.2914312,0.019545433770582554,0.005297410663720398
6359,5348773914.0,fast_food,,,Mo-Su 17:00-23:00,,,,,,,,,Sasty,POINT (112.6765016 -7.2937321),112.6765016,-7.2937321,0.2067438635945434,0.09846306450310559
6360,5348773990.0,fast_food,,,,,,,,,,,,Kmie,POINT (112.6765053 -7.2936415),112.6765053,-7.2936415,0.21387980219159103,0.08887417657806843
6361,5348773991.0,fast_food,,,Mo-Su 10:00-22:00,,,,,,,,,Mr. Big Tummy,POINT (112.6765046 -7.2935458),112.6765046,-7.2935458,0.22130677512586927,0.07870866653852611
6363,5348774775.0,fast_food,,,Mo-Su 16:00-23:00,,,,,,,,,Pigmalion,POINT (112.676495 -7.2938117),112.676495,-7.2938117,0.20039648521017525,0.10687481703194993
6368,5354541741.0,cafe,,,Mo-Su 12:00-22:00,,,,,,,,,Bird house,POINT (112.6762882 -7.2935947),112.6762882,-7.2935947,0.20125765227063072,0.08042265482375983
6370,5354542502.0,fast_food,,,Mo-Su 14:00-23:00,,,,,,,,,Sissy's kitchen,POINT (112.6763974 -7.2935945),112.6763974,-7.2935945,0.20926113893578502,0.08128993266804435
6381,5362689673.0,restaurant,,,Mo-Su 11:30-22:00,,,,,,,,,Magal,POINT (112.6750878 -7.2968202),112.6750878,-7.2968202,0.20303108435317463,0.45681218057812767
6394,5381991209.0,cafe,,,,,,,,,,,,Palms,POINT (112.6670643 -7.2948712),112.6670643,-7.2948712,0.4933517547517376,0.16100373412558827
6398,5389582026.0,restaurant,,Probolinggo,Mo-Su 08:00-21:00,,,,,,Jl. P.B. Sudirman,,,RM Sumber Hidap,POINT (113.2131491 -7.7532452),113.2131491,-7.7532452,0.46366797097843776,3.8929935543737324
6441,5466218208.0,ice_cream,,,,,,,,,,,,Campina factory,POINT (112.7561911 -7.3242346),112.7561911,-7.3242346,0.23674140722657394,0.24222445840078685
6444,5466219735.0,restaurant,,,,,,,,,,,,Hunger belt,POINT (112.6774637 -7.2894444),112.6774637,-7.2894444,0.255860013893034,0.40018231516625485
